"type","hole","numPoint","lat","lon"
"Pin","1","0",40.815832981583,-73.834935483494
"Target","1","1",40.814517181452,-73.834928283493
"Tee","1","0",40.812215881222,-73.835026383503
"Pin","2","0",40.818686881869,-73.830249183025
"Target","2","1",40.817449381745,-73.832113983211
"Target","2","2",40.818433981843,-73.830440883044
"Tee","2","0",40.816543981654,-73.834969683497
"Pin","3","0",40.819918981992,-73.828532882853
"Tee","3","0",40.818220681822,-73.829890082989
"Pin","4","0",40.817058781706,-73.824587282459
"Target","4","1",40.818928981893,-73.826045282605
"Target","4","2",40.817440381744,-73.825120982512
"Tee","4","0",40.820942282094,-73.827733682773
"Pin","5","0",40.820010782001,-73.827889382789
"Target","5","1",40.818721081872,-73.827222482722
"Tee","5","0",40.816912981691,-73.825252382525
"Pin","6","0",40.818360181836,-73.831710783171
"Target","6","1",40.819330381933,-73.83020058302
"Tee","6","0",40.820820782082,-73.827881282788
"Pin","7","0",40.817176681718,-73.834632183463
"Target","7","1",40.817290981729,-73.833835683384
"Tee","7","0",40.81890198189,-73.831978983198
"Pin","8","0",40.815949081595,-73.832725083273
"Tee","8","0",40.816271281627,-73.834953483495
"Pin","9","0",40.81230048123,-73.833814083381
"Target","9","1",40.81340388134,-73.834328883433
"Tee","9","0",40.815672781567,-73.833808683381
"Pin","10","0",40.816309981631,-73.832271483227
"Target","10","1",40.815084181508,-73.831356183136
"Tee","10","0",40.812743281274,-73.831520883152
"Pin","11","0",40.818187381819,-73.828918982892
"Target","11","1",40.817809381781,-73.829633582963
"Tee","11","0",40.816626781663,-73.832051883205
"Pin","12","0",40.818017281802,-73.827577982758
"Tee","12","0",40.819121581912,-73.828543682854
"Pin","13","0",40.816353181635,-73.831008783101
"Target","13","1",40.816946281695,-73.829589482959
"Tee","13","0",40.817585281759,-73.826609582661
"Pin","14","0",40.816880581688,-73.826172182617
"Target","14","1",40.816644781664,-73.82810088281
"Tee","14","0",40.815873481587,-73.830968283097
"Pin","15","0",40.815520681552,-73.830048483005
"Target","15","1",40.816161481616,-73.826969582697
"Target","15","2",40.815456781546,-73.829111582911
"Tee","15","0",40.816874281687,-73.823961782396
"Pin","16","0",40.81259748126,-73.828026182803
"Target","16","1",40.813949281395,-73.829107982911
"Tee","16","0",40.815839281584,-73.831029483103
"Pin","17","0",40.813593781359,-73.82960298296
"Tee","17","0",40.812347281235,-73.828412282841
"Pin","18","0",40.809941580994,-73.832931183293
"Target","18","1",40.812016981202,-73.831312083131
"Target","18","2",40.810495081049,-73.832971683297
"Tee","18","0",40.813942981394,-73.829964782997
