"type","hole","numPoint","lat","lon"
"Pin","1","0",53.492170449217,-8.8325972832597
"Target","1","1",53.493005649301,-8.8333622833362
"Tee","1","0",53.495027049503,-8.8352153835215
"Pin","2","0",53.489988848999,-8.8273322827332
"Target","2","1",53.491760049176,-8.8294832829483
"Target","2","2",53.490320949032,-8.827640082764
"Tee","2","0",53.492777049278,-8.8324073832407
"Pin","3","0",53.492928249293,-8.8302293830229
"Target","3","1",53.491545849155,-8.8278614827862
"Target","3","2",53.492723049272,-8.829589482959
"Tee","3","0",53.489480348948,-8.8263152826315
"Pin","4","0",53.495037849504,-8.8344269834427
"Target","4","1",53.494222449422,-8.8333829833383
"Tee","4","0",53.492539449254,-8.8307414830742
"Pin","5","0",53.496435549644,-8.8342550834255
"Tee","5","0",53.495156649516,-8.8356842835684
"Pin","6","0",53.498982549898,-8.833380283338
"Target","6","1",53.497826949783,-8.8337816833782
"Tee","6","0",53.495749749575,-8.8354511835451
"Pin","7","0",53.498951949895,-8.8317017831702
"Tee","7","0",53.49939834994,-8.8334963833496
"Pin","8","0",53.495776749578,-8.8337267833727
"Target","8","1",53.496575949658,-8.8334828833483
"Tee","8","0",53.498744949874,-8.8321814832181
"Pin","9","0",53.493470049347,-8.8311248831125
"Target","9","1",53.493992949399,-8.8319321831932
"Tee","9","0",53.495689449569,-8.834550283455
"Pin","10","0",53.49629694963,-8.8322327832233
"Target","10","1",53.495191749519,-8.83189978319
"Tee","10","0",53.493307149331,-8.8296767829677
"Pin","11","0",53.497423749742,-8.8320770832077
"Tee","11","0",53.495917149592,-8.8333217833322
"Pin","12","0",53.493365649337,-8.8285742828574
"Target","12","1",53.4950009495,-8.8301906830191
"Target","12","2",53.493677949368,-8.8290737829074
"Tee","12","0",53.497027749703,-8.8320257832026
"Pin","13","0",53.491206549121,-8.8253711825371
"Target","13","1",53.491949949195,-8.8262513826251
"Tee","13","0",53.493183849318,-8.8295183829518
"Pin","14","0",53.489228348923,-8.8256339825634
"Target","14","1",53.490005049,-8.8255916825592
"Tee","14","0",53.491965249197,-8.8271927827193
"Pin","15","0",53.489560448956,-8.8274447827445
"Tee","15","0",53.488878248888,-8.825570082557
"Pin","16","0",53.491928349193,-8.8317845831785
"Target","16","1",53.491264149126,-8.8304435830444
"Tee","16","0",53.489306648931,-8.8284077828408
"Pin","17","0",53.489414648941,-8.8317710831771
"Target","17","1",53.490105849011,-8.831619883162
"Tee","17","0",53.492021049202,-8.8328762832876
"Pin","18","0",53.493542949354,-8.8352792835279
"Target","18","1",53.491743849174,-8.8335377833538
"Target","18","2",53.493311649331,-8.8350551835055
"Tee","18","0",53.489515448952,-8.8325621832562
