"type","hole","numPoint","lat","lon"
"Pin","1","0",40.046626304663,-88.264782726478
"Target","1","1",40.046410304641,-88.261931526193
"Target","1","2",40.04660020466,-88.264335426434
"Tee","1","0",40.046589404659,-88.258878725888
"Pin","2","0",40.044911804491,-88.264257126426
"Tee","2","0",40.046209604621,-88.264224726422
"Pin","3","0",40.041769904177,-88.26449832645
"Target","3","1",40.043033504303,-88.264221126422
"Tee","3","0",40.04530420453,-88.263722526372
"Pin","4","0",40.042139804214,-88.25970492597
"Target","4","1",40.041967904197,-88.260739026074
"Tee","4","0",40.041813104181,-88.263578526358
"Pin","5","0",40.042253204225,-88.263154626315
"Target","5","1",40.042215404222,-88.262280726228
"Tee","5","0",40.042721204272,-88.259512325951
"Pin","6","0",40.045088204509,-88.263213126321
"Target","6","1",40.043973104397,-88.263443526344
"Tee","6","0",40.04170420417,-88.263956526396
"Pin","7","0",40.045190804519,-88.261612026161
"Tee","7","0",40.045585004558,-88.263634326363
"Pin","8","0",40.042875104287,-88.262854026285
"Target","8","1",40.043765204377,-88.262710026271
"Tee","8","0",40.045368104537,-88.26070302607
"Pin","9","0",40.045552604555,-88.259316125932
"Target","9","1",40.044554504455,-88.260868626087
"Target","9","2",40.045482404548,-88.259806625981
"Tee","9","0",40.042575404258,-88.262405826241
"Pin","10","0",40.044522104452,-88.25860242586
"Tee","10","0",40.045725404573,-88.258514225851
"Pin","11","0",40.041240704124,-88.257747425775
"Target","11","1",40.042343204234,-88.257527825753
"Tee","11","0",40.044166604417,-88.258514225851
"Pin","12","0",40.04049730405,-88.26389712639
"Target","12","1",40.040308304031,-88.261290726129
"Target","12","2",40.040477504048,-88.263481326348
"Tee","12","0",40.040287604029,-88.258283825828
"Pin","13","0",40.040856404086,-88.26530292653
"Tee","13","0",40.040057204006,-88.263864726386
"Pin","14","0",40.046219504622,-88.266190326619
"Target","14","1",40.044838904484,-88.266244326624
"Tee","14","0",40.04249530425,-88.266211926621
"Pin","15","0",40.04179870418,-88.265614326561
"Target","15","1",40.043464604346,-88.265546826555
"Target","15","2",40.042149704215,-88.265618826562
"Tee","15","0",40.045765904577,-88.265621526562
"Pin","16","0",40.044464504446,-88.264682826468
"Target","16","1",40.043887604389,-88.264809726481
"Tee","16","0",40.041636704164,-88.26509862651
"Pin","17","0",40.046176304618,-88.264892526489
"Tee","17","0",40.044782204478,-88.264843926484
"Pin","18","0",40.046168204617,-88.259332325933
"Target","18","1",40.045771304577,-88.261353726135
"Target","18","2",40.046080004608,-88.259628425963
"Tee","18","0",40.046172704617,-88.264315626432
