"type","hole","numPoint","lat","lon"
"Pin","1","0",56.05619600562,12.800990180099
"Target","1","1",56.057235505724,12.798939979894
"Tee","1","0",56.05829570583,12.795278779528
"Pin","2","0",56.056159105616,12.803447180345
"Tee","2","0",56.056944805694,12.800909180091
"Pin","3","0",56.05150250515,12.804251780425
"Target","3","1",56.053769605377,12.803407580341
"Target","3","2",56.051912905191,12.80409878041
"Tee","3","0",56.055870205587,12.801719180172
"Pin","4","0",56.049036504904,12.803918780392
"Tee","4","0",56.051068705107,12.804051980405
"Pin","5","0",56.05190390519,12.802792880279
"Target","5","1",56.050821205082,12.803250080325
"Tee","5","0",56.04860270486,12.802148480215
"Pin","6","0",56.04829670483,12.800246780025
"Target","6","1",56.050166905017,12.801258380126
"Target","6","2",56.048854704885,12.801090080109
"Tee","6","0",56.052390805239,12.802326680233
"Pin","7","0",56.051309005131,12.800783180078
"Target","7","1",56.05029740503,12.799830079983
"Tee","7","0",56.048013204801,12.799308079931
"Pin","8","0",56.054425705443,12.799380979938
"Target","8","1",56.054216005422,12.800332280033
"Tee","8","0",56.052515005252,12.802771280277
"Pin","9","0",56.055863905586,12.792716479272
"Target","9","1",56.055127705513,12.794691079469
"Tee","9","0",56.054758705476,12.798760879876
"Pin","10","0",56.056814305681,12.802738880274
"Target","10","1",56.058037405804,12.798870679887
"Target","10","2",56.057229205723,12.80209538021
"Tee","10","0",56.058851005885,12.795013279501
"Pin","11","0",56.052916405292,12.805920380592
"Target","11","1",56.053928005393,12.806004980601
"Tee","11","0",56.056033105603,12.804333680433
"Pin","12","0",56.04789800479,12.808020080802
"Target","12","1",56.050186705019,12.806883380688
"Target","12","2",56.048228304823,12.807327080733
"Tee","12","0",56.052463705246,12.806280380628
"Pin","13","0",56.048269704827,12.802508480251
"Target","13","1",56.047243704724,12.804408380441
"Tee","13","0",56.047371504737,12.808524980852
"Pin","14","0",56.047839504784,12.805351580535
"Tee","14","0",56.048747604875,12.802530080253
"Pin","15","0",56.051512405151,12.805611680561
"Target","15","1",56.050040005004,12.805626080563
"Tee","15","0",56.047815204782,12.806693480669
"Pin","16","0",56.055645205565,12.802859480286
"Target","16","1",56.054316805432,12.804285980429
"Tee","16","0",56.052119005212,12.805518080552
"Pin","17","0",56.055162805516,12.799171279917
"Tee","17","0",56.055584905559,12.801225080123
"Pin","18","0",56.057754805775,12.793986379399
"Target","18","1",56.057189605719,12.796624279662
"Tee","18","0",56.055577705558,12.799567279957
