"type","hole","numPoint","lat","lon"
"Pin","1","0",37.535725953573,-77.072122407212
"Target","1","1",37.534453353445,-77.072915307292
"Tee","1","0",37.53219705322,-77.073887307389
"Pin","2","0",37.536950853695,-77.069776106978
"Target","2","1",37.535833953583,-77.069218106922
"Tee","2","0",37.533858453386,-77.070709407071
"Pin","3","0",37.5370039537,-77.067369506737
"Tee","3","0",37.538431353843,-77.068909406891
"Pin","4","0",37.540364554036,-77.069111006911
"Target","4","1",37.539088353909,-77.06809940681
"Tee","4","0",37.537189353719,-77.066280506628
"Pin","5","0",37.544964454496,-77.070980307098
"Target","5","1",37.543740454374,-77.070913707091
"Tee","5","0",37.541731654173,-77.069494406949
"Pin","6","0",37.540155754016,-77.074059207406
"Target","6","1",37.542621754262,-77.072340207234
"Target","6","2",37.540980154098,-77.073722607372
"Tee","6","0",37.544959954496,-77.072149407215
"Pin","7","0",37.538848053885,-77.074392207439
"Tee","7","0",37.537716753772,-77.073528207353
"Pin","8","0",37.536153453615,-77.076674607667
"Target","8","1",37.537120953712,-77.076329907633
"Tee","8","0",37.539372753937,-77.076076107608
"Pin","9","0",37.531467153147,-77.076707007671
"Target","9","1",37.533648753365,-77.076140007614
"Target","9","2",37.53210165321,-77.076845607685
"Tee","9","0",37.535974353597,-77.075475807548
"Pin","10","0",37.535868153587,-77.081594008159
"Target","10","1",37.533453453345,-77.0810000081
"Target","10","2",37.535305653531,-77.081480608148
"Tee","10","0",37.531633653163,-77.07939710794
"Pin","11","0",37.541180854118,-77.082180808218
"Target","11","1",37.53959865396,-77.083210408321
"Tee","11","0",37.53729555373,-77.082430108243
"Pin","12","0",37.544877154488,-77.08340390834
"Target","12","1",37.543724254372,-77.082863908286
"Tee","12","0",37.541436454144,-77.083505608351
"Pin","13","0",37.544732254473,-77.075241807524
"Target","13","1",37.546391854639,-77.077688007769
"Target","13","2",37.545346054535,-77.075763807576
"Tee","13","0",37.546108354611,-77.080622908062
"Pin","14","0",37.544681854468,-77.079313407931
"Target","14","1",37.544066254407,-77.077464807746
"Tee","14","0",37.543188754319,-77.074668507467
"Pin","15","0",37.540759654076,-77.078423307842
"Tee","15","0",37.541648854165,-77.080273708027
"Pin","16","0",37.536520653652,-77.078615907862
"Target","16","1",37.537849953785,-77.078777007878
"Tee","16","0",37.539966753997,-77.077390107739
"Pin","17","0",37.534913253491,-77.078664507866
"Tee","17","0",37.53630375363,-77.079866007987
"Pin","18","0",37.531471653147,-77.077931907793
"Target","18","1",37.532743353274,-77.078786907879
"Tee","18","0",37.53489795349,-77.079949707995
