"type","hole","numPoint","lat","lon"
"Pin","1","0",-38.639446463945,176.08585730859
"Target","1","1",-38.637182063718,176.08637210864
"Target","1","2",-38.638578863858,176.08592480859
"Tee","1","0",-38.635121963512,176.08686890869
"Pin","2","0",-38.641486764149,176.08429130843
"Tee","2","0",-38.639954963996,176.08567010857
"Pin","3","0",-38.642208564221,176.07967250797
"Target","3","1",-38.642393064239,176.08245170825
"Target","3","2",-38.642333664233,176.08019000802
"Tee","3","0",-38.642094264209,176.08537490854
"Pin","4","0",-38.641448964145,176.07586010759
"Target","4","1",-38.64150296415,176.07712820771
"Tee","4","0",-38.64170456417,176.07974810797
"Pin","5","0",-38.640390564039,176.07662060766
"Tee","5","0",-38.641392264139,176.07524180752
"Pin","6","0",-38.641365264137,176.08114670811
"Target","6","1",-38.640908964091,176.07932690793
"Tee","6","0",-38.639593163959,176.07678080768
"Pin","7","0",-38.640281664028,176.08439570844
"Target","7","1",-38.640907164091,176.08369370837
"Tee","7","0",-38.641889064189,176.0810270081
"Pin","8","0",-38.638765163877,176.08245710825
"Target","8","1",-38.639635463964,176.08262720826
"Tee","8","0",-38.639657963966,176.08536410854
"Pin","9","0",-38.636188463619,176.08589690859
"Target","9","1",-38.63729546373,176.08519130852
"Tee","9","0",-38.639083763908,176.08333370833
"Pin","10","0",-38.636651063665,176.08409510841
"Tee","10","0",-38.635833863583,176.08588970859
"Pin","11","0",-38.638893863889,176.08119350812
"Target","11","1",-38.638241363824,176.08172990817
"Tee","11","0",-38.63650256365,176.08341200834
"Pin","12","0",-38.636808563681,176.08238420824
"Target","12","1",-38.63720456372,176.08129970813
"Tee","12","0",-38.638651763865,176.08019270802
"Pin","13","0",-38.637327863733,176.07855380786
"Target","13","1",-38.636963363696,176.08015850802
"Tee","13","0",-38.635911263591,176.08260110826
"Pin","14","0",-38.636271263627,176.07376400738
"Target","14","1",-38.637648263765,176.07672770767
"Target","14","2",-38.636605163661,176.07464510746
"Tee","14","0",-38.637671663767,176.07967520797
"Pin","15","0",-38.635362263536,176.07490610749
"Tee","15","0",-38.636345063635,176.07313040731
"Pin","16","0",-38.637012863701,176.07811010781
"Target","16","1",-38.63619746362,176.07729020773
"Tee","16","0",-38.634725963473,176.0749547075
"Pin","17","0",-38.635582763558,176.08185590819
"Target","17","1",-38.636010263601,176.08094510809
"Tee","17","0",-38.636163263616,176.0780039078
"Pin","18","0",-38.63559806356,176.08589150859
"Target","18","1",-38.635077863508,176.0829926083
"Target","18","2",-38.635446863545,176.08515260852
"Tee","18","0",-38.635249763525,176.08005320801
