"type","hole","numPoint","lat","lon"
"Pin","1","0",41.554017555402,-93.643050964305
"Target","1","1",41.552818755282,-93.642207664221
"Tee","1","0",41.550621855062,-93.642636064264
"Pin","2","0",41.554637655464,-93.644483764448
"Tee","2","0",41.554409055441,-93.642533464253
"Pin","3","0",41.55050125505,-93.643437964344
"Target","3","1",41.551720755172,-93.644277664428
"Tee","3","0",41.553993255399,-93.644770864477
"Pin","4","0",41.553917655392,-93.64370076437
"Target","4","1",41.552758455276,-93.643456864346
"Tee","4","0",41.55050305505,-93.642839464284
"Pin","5","0",41.554748355475,-93.637533963753
"Target","5","1",41.554258755426,-93.64049586405
"Target","5","2",41.55459895546,-93.638065863807
"Tee","5","0",41.554826655483,-93.643477564348
"Pin","6","0",41.551767555177,-93.635889663589
"Target","6","1",41.552956455296,-93.63579786358
"Tee","6","0",41.55520015552,-93.636174063617
"Pin","7","0",41.548718354872,-93.635892363589
"Target","7","1",41.549831654983,-93.636039963604
"Tee","7","0",41.551733355173,-93.635579163558
"Pin","8","0",41.548543754854,-93.641686564169
"Target","8","1",41.54869765487,-93.638773263877
"Target","8","2",41.548666154867,-93.640970164097
"Tee","8","0",41.548383554838,-93.635670063567
"Pin","9","0",41.549460854946,-93.640165564017
"Tee","9","0",41.548772354877,-93.642013264201
"Pin","10","0",41.549119754912,-93.636726663673
"Target","10","1",41.54959585496,-93.638353863835
"Tee","10","0",41.55069745507,-93.641055664106
"Pin","11","0",41.552881755288,-93.638979363898
"Target","11","1",41.551884555188,-93.638533863853
"Tee","11","0",41.54980015498,-93.637225263723
"Pin","12","0",41.550149355015,-93.636740163674
"Target","12","1",41.550813555081,-93.63709566371
"Tee","12","0",41.552877255288,-93.638188263819
"Pin","13","0",41.555007555501,-93.636806763681
"Target","13","1",41.552942055294,-93.637058763706
"Target","13","2",41.554528755453,-93.636748263675
"Tee","13","0",41.550645255064,-93.636434163643
"Pin","14","0",41.553469455347,-93.639092763909
"Tee","14","0",41.554387455439,-93.637322463732
"Pin","15","0",41.549963054996,-93.63809736381
"Target","15","1",41.551630755163,-93.639255663926
"Target","15","2",41.550424755042,-93.638424063842
"Tee","15","0",41.553841155384,-93.640116964012
"Pin","16","0",41.55339565534,-93.641020564102
"Target","16","1",41.552189655219,-93.64059576406
"Tee","16","0",41.550242055024,-93.639060363906
"Pin","17","0",41.55389965539,-93.642284164228
"Tee","17","0",41.553626055363,-93.64029696403
"Pin","18","0",41.551051155105,-93.641734264173
"Target","18","1",41.551783755178,-93.641453464145
"Tee","18","0",41.553590055359,-93.641589364159
