"type","hole","numPoint","lat","lon"
"Pin","1","0",51.27819902782,-0.23944052394405
"Tee","1","0",51.277076727708,-0.24188132418813
"Pin","2","0",51.275244327524,-0.23502332350233
"Target","2","1",51.276438627644,-0.23609522360952
"Tee","2","0",51.277719327772,-0.23915342391534
"Pin","3","0",51.273236427324,-0.23375972337597
"Target","3","1",51.273773727377,-0.23412782341278
"Tee","3","0",51.275313627531,-0.23551652355165
"Pin","4","0",51.269430326943,-0.23359862335986
"Target","4","1",51.271386027139,-0.23348882334888
"Tee","4","0",51.273583827358,-0.23458592345859
"Pin","5","0",51.266817626682,-0.2317050231705
"Target","5","1",51.268305326831,-0.23276882327688
"Tee","5","0",51.270606627061,-0.23289932328993
"Pin","6","0",51.26339672634,-0.23250962325096
"Target","6","1",51.264686426469,-0.23212532321253
"Tee","6","0",51.266938226694,-0.2313540231354
"Pin","7","0",51.263477726348,-0.23074742307474
"Tee","7","0",51.262719026272,-0.2328210232821
"Pin","8","0",51.260174726017,-0.2286180228618
"Target","8","1",51.262611926261,-0.22971242297124
"Target","8","2",51.260707526071,-0.22888262288826
"Tee","8","0",51.264863726486,-0.23047652304765
"Pin","9","0",51.262327526233,-0.2324430232443
"Target","9","1",51.261828026183,-0.23104622310462
"Tee","9","0",51.259965925997,-0.22888082288808
"Pin","10","0",51.263707226371,-0.23511152351115
"Target","10","1",51.262741526274,-0.23434652343465
"Tee","10","0",51.261261926126,-0.23152682315268
"Pin","11","0",51.263319326332,-0.23344382334438
"Tee","11","0",51.264422726442,-0.235710023571
"Pin","12","0",51.265688126569,-0.23279672327967
"Target","12","1",51.264814226481,-0.23384252338425
"Tee","12","0",51.262809026281,-0.23285882328588
"Pin","13","0",51.268650026865,-0.23643092364309
"Target","13","1",51.266608826661,-0.23533382353338
"Target","13","2",51.268268426827,-0.23630852363085
"Tee","13","0",51.26589602659,-0.23197322319732
"Pin","14","0",51.273376827338,-0.23710952371095
"Target","14","1",51.271059327106,-0.23672252367225
"Target","14","2",51.272970927297,-0.23718152371815
"Tee","14","0",51.268839926884,-0.2360340236034
"Pin","15","0",51.271464327146,-0.24094532409453
"Target","15","1",51.272286927229,-0.23957642395764
"Tee","15","0",51.273881727388,-0.23692232369223
"Pin","16","0",51.274444227444,-0.23822822382282
"Target","16","1",51.272694627269,-0.23993552399355
"Target","16","2",51.273962727396,-0.2383650238365
"Tee","16","0",51.271252827125,-0.24280472428047
"Pin","17","0",51.274358727436,-0.23640212364021
"Tee","17","0",51.275067027507,-0.23880512388051
"Pin","18","0",51.27639542764,-0.24058352405835
"Target","18","1",51.275469327547,-0.23849192384919
"Tee","18","0",51.274393827439,-0.23523752352375
