"type","hole","numPoint","lat","lon"
"Pin","1","0",-44.700328770033,169.13982671398
"Target","1","1",-44.69920376992,169.14078431408
"Tee","1","0",-44.696994269699,169.14108491411
"Pin","2","0",-44.699920169992,169.14162671416
"Tee","2","0",-44.700932670093,169.13950271395
"Pin","3","0",-44.70159867016,169.13928491393
"Target","3","1",-44.701152270115,169.14014621401
"Tee","3","0",-44.699645669965,169.14228101423
"Pin","4","0",-44.703037770304,169.1379736138
"Target","4","1",-44.702405070241,169.13825441383
"Tee","4","0",-44.700608670061,169.13925521393
"Pin","5","0",-44.705008770501,169.13553821355
"Target","5","1",-44.704264470426,169.13605211361
"Tee","5","0",-44.703233970323,169.13875391388
"Pin","6","0",-44.705370570537,169.13775851378
"Tee","6","0",-44.70580347058,169.13632121363
"Pin","7","0",-44.702921670292,169.13976281398
"Target","7","1",-44.703860370386,169.13912381391
"Tee","7","0",-44.705313870531,169.13661101366
"Pin","8","0",-44.700294570029,169.14217931422
"Target","8","1",-44.701059570106,169.14161591416
"Tee","8","0",-44.702715570272,169.13944871394
"Pin","9","0",-44.698479269848,169.14384791438
"Target","9","1",-44.698871669887,169.14311531431
"Tee","9","0",-44.70089667009,169.14214961422
"Pin","10","0",-44.693958569396,169.14588911459
"Target","10","1",-44.69589626959,169.14569111457
"Target","10","2",-44.694255569426,169.14584681458
"Tee","10","0",-44.698078769808,169.14465791447
"Pin","11","0",-44.696673869667,169.14650021465
"Target","11","1",-44.696071769607,169.14660551466
"Tee","11","0",-44.693987369399,169.14692951469
"Pin","12","0",-44.694984569498,169.14920651492
"Target","12","1",-44.695756769576,169.14875921488
"Tee","12","0",-44.697379469738,169.14662621466
"Pin","13","0",-44.694473369447,169.15121261512
"Tee","13","0",-44.695466969547,169.14958451496
"Pin","14","0",-44.693540969354,169.14678191468
"Target","14","1",-44.693684069368,169.14813371481
"Tee","14","0",-44.694147569415,169.15124771512
"Pin","15","0",-44.693213369321,169.14580541458
"Tee","15","0",-44.694050369405,169.14671441467
"Pin","16","0",-44.693937869394,169.15225661523
"Target","16","1",-44.693071169307,169.14884021488
"Target","16","2",-44.693627369363,169.15132241513
"Tee","16","0",-44.693022569302,169.14560201456
"Pin","17","0",-44.696288669629,169.14945581495
"Target","17","1",-44.695527269553,169.15051421505
"Tee","17","0",-44.693933369393,169.15285151529
"Pin","18","0",-44.697880769788,169.14547871455
"Target","18","1",-44.697624269762,169.14707351471
"Tee","18","0",-44.696438969644,169.14978341498
