"type","hole","numPoint","lat","lon"
"Pin","1","0",41.710620271062,-86.226869322687
"Target","1","1",41.710686871069,-86.22570022257
"Tee","1","0",41.710373671037,-86.222811222281
"Pin","2","0",41.709482670948,-86.231968723197
"Target","2","1",41.70939807094,-86.230053523005
"Tee","2","0",41.710391671039,-86.227210422721
"Pin","3","0",41.711962171196,-86.234626423463
"Target","3","1",41.711074771107,-86.234054923405
"Tee","3","0",41.709120870912,-86.232424123242
"Pin","4","0",41.711285371129,-86.232987523299
"Tee","4","0",41.71219617122,-86.233982923398
"Pin","5","0",41.710894771089,-86.22769822277
"Target","5","1",41.710464571046,-86.230226323023
"Target","5","2",41.710756171076,-86.2280015228
"Tee","5","0",41.710906471091,-86.233253023325
"Pin","6","0",41.710964971097,-86.223055122306
"Target","6","1",41.711391571139,-86.224929822493
"Tee","6","0",41.711380771138,-86.228124822812
"Pin","7","0",41.710268371027,-86.217425621743
"Target","7","1",41.710228771023,-86.219034821903
"Tee","7","0",41.711030671103,-86.221689822169
"Pin","8","0",41.70930447093,-86.221808622181
"Target","8","1",41.70950337095,-86.220123822012
"Tee","8","0",41.709523170952,-86.217039521704
"Pin","9","0",41.710820971082,-86.222192022219
"Tee","9","0",41.70930447093,-86.22229642223
"Pin","10","0",41.714635171464,-86.226349122635
"Target","10","1",41.713426471343,-86.224929822493
"Target","10","2",41.714582071458,-86.225882922588
"Tee","10","0",41.711781271178,-86.222693322269
"Pin","11","0",41.712640771264,-86.227985322799
"Tee","11","0",41.714514571451,-86.227232022723
"Pin","12","0",41.712032371203,-86.232735523274
"Target","12","1",41.7120035712,-86.230963423096
"Tee","12","0",41.712161971216,-86.227886322789
"Pin","13","0",41.711663371166,-86.228176122818
"Target","13","1",41.711252971125,-86.229787122979
"Tee","13","0",41.711657971166,-86.232823723282
"Pin","14","0",41.713137571314,-86.226853122685
"Tee","14","0",41.711571571157,-86.227646922765
"Pin","15","0",41.711715571172,-86.223283722328
"Target","15","1",41.712147571215,-86.224712022471
"Tee","15","0",41.713781971378,-86.226805422681
"Pin","16","0",41.712264571226,-86.218632521863
"Target","16","1",41.711820871182,-86.21920312192
"Tee","16","0",41.71129527113,-86.222036322204
"Pin","17","0",41.715323671532,-86.222430522243
"Target","17","1",41.714031271403,-86.220257022026
"Target","17","2",41.715158971516,-86.222152422215
"Tee","17","0",41.712330271233,-86.218017821802
"Pin","18","0",41.712160171216,-86.2220039222
"Target","18","1",41.713286971329,-86.223123522312
"Tee","18","0",41.715588271559,-86.223254022325
