"type","hole","numPoint","lat","lon"
"Pin","1","0",52.32809773281,-0.70151857015186
"Target","1","1",52.327776432778,-0.70295587029559
"Tee","1","0",52.328171532817,-0.70584487058449
"Pin","2","0",52.330345033035,-0.69722646972265
"Target","2","1",52.329436032944,-0.69808866980887
"Tee","2","0",52.327415532742,-0.69989586998959
"Pin","3","0",52.333670533367,-0.69751626975163
"Target","3","1",52.332667933267,-0.69724266972427
"Tee","3","0",52.330640233064,-0.69668736966874
"Pin","4","0",52.333528333353,-0.70017487001749
"Tee","4","0",52.333868533387,-0.69789966978997
"Pin","5","0",52.334945833495,-0.70534087053409
"Target","5","1",52.334772133477,-0.70419157041916
"Tee","5","0",52.333824433382,-0.70075627007563
"Pin","6","0",52.333646233365,-0.70130617013062
"Target","6","1",52.333859533386,-0.70236727023673
"Tee","6","0",52.334554333455,-0.70596007059601
"Pin","7","0",52.333069333307,-0.70606447060645
"Target","7","1",52.333445533345,-0.70394227039423
"Tee","7","0",52.333011733301,-0.70024147002415
"Pin","8","0",52.330318933032,-0.70681327068133
"Target","8","1",52.330925533093,-0.70687537068754
"Tee","8","0",52.332973933297,-0.70659277065928
"Pin","9","0",52.329255132926,-0.70173817017382
"Target","9","1",52.329971532997,-0.70359937035994
"Tee","9","0",52.329820332982,-0.70708957070896
"Pin","10","0",52.330877833088,-0.69804186980419
"Target","10","1",52.330156933016,-0.69905706990571
"Tee","10","0",52.328491032849,-0.70165807016581
"Pin","11","0",52.330012033001,-0.70104337010434
"Tee","11","0",52.330712233071,-0.69917406991741
"Pin","12","0",52.332018133202,-0.70632187063219
"Target","12","1",52.330872433087,-0.70376407037641
"Target","12","2",52.331753533175,-0.70579357057936
"Tee","12","0",52.329451332945,-0.70079947007995
"Pin","13","0",52.33220353322,-0.69885186988519
"Target","13","1",52.332544633254,-0.70103257010326
"Tee","13","0",52.332730033273,-0.70478827047883
"Pin","14","0",52.332478933248,-0.70465147046515
"Target","14","1",52.331436733144,-0.70156717015672
"Target","14","2",52.332271933227,-0.70388557038856
"Tee","14","0",52.332089233209,-0.69823536982354
"Pin","15","0",52.330969633097,-0.70158787015879
"Target","15","1",52.33119913312,-0.70283977028398
"Tee","15","0",52.332523033252,-0.70592227059223
"Pin","16","0",52.331387233139,-0.69767466976747
"Target","16","1",52.331241433124,-0.6990579699058
"Tee","16","0",52.330634833063,-0.70170307017031
"Pin","17","0",52.328068032807,-0.70066267006627
"Target","17","1",52.329179532918,-0.69918306991831
"Tee","17","0",52.33120363312,-0.69738756973876
"Pin","18","0",52.328784432878,-0.70554967055497
"Target","18","1",52.328891532889,-0.70455427045543
"Tee","18","0",52.328335332834,-0.70180837018084
