"type","hole","numPoint","lat","lon"
"Pin","1","0",51.394971339497,-0.59206775920678
"Target","1","1",51.39620163962,-0.59086355908636
"Tee","1","0",51.398409339841,-0.58981235898124
"Pin","2","0",51.393253239325,-0.59339885933989
"Tee","2","0",51.394351239435,-0.59275175927518
"Pin","3","0",51.388123238812,-0.59593865959387
"Target","3","1",51.38959923896,-0.59425115942512
"Target","3","2",51.388432838843,-0.5956029595603
"Tee","3","0",51.391723239172,-0.59282735928274
"Pin","4","0",51.387138638714,-0.60009576000958
"Target","4","1",51.386816438682,-0.59805455980546
"Tee","4","0",51.387751538775,-0.59549585954959
"Pin","5","0",51.386059538606,-0.59860715986072
"Tee","5","0",51.386622938662,-0.60066726006673
"Pin","6","0",51.388857638886,-0.59377145937715
"Target","6","1",51.387368138737,-0.59435825943583
"Tee","6","0",51.386273738627,-0.59745425974543
"Pin","7","0",51.386042438604,-0.59552825955283
"Target","7","1",51.387591338759,-0.59257625925763
"Target","7","2",51.386189138619,-0.59407655940766
"Tee","7","0",51.389889038989,-0.59281925928193
"Pin","8","0",51.386147738615,-0.58898885889889
"Target","8","1",51.385889438589,-0.59122715912272
"Tee","8","0",51.385635638564,-0.59482805948281
"Pin","9","0",51.386720138672,-0.58606835860684
"Target","9","1",51.386032538603,-0.5866389586639
"Tee","9","0",51.385474538547,-0.58994645899465
"Pin","10","0",51.387512138751,-0.58045145804515
"Target","10","1",51.387060338706,-0.5834349583435
"Target","10","2",51.387363638736,-0.58091135809114
"Tee","10","0",51.387136838714,-0.58712225871223
"Pin","11","0",51.391028439103,-0.57914555791456
"Target","11","1",51.390216639022,-0.58114355811436
"Tee","11","0",51.388216838822,-0.58074665807467
"Pin","12","0",51.392205639221,-0.57958745795875
"Tee","12","0",51.391194039119,-0.57813935781394
"Pin","13","0",51.38960103896,-0.58298855829886
"Target","13","1",51.390916839092,-0.58281665828167
"Tee","13","0",51.391830339183,-0.57979175797918
"Pin","14","0",51.387416738742,-0.58753265875327
"Target","14","1",51.387863138786,-0.58623845862385
"Tee","14","0",51.388951238895,-0.58298585829859
"Pin","15","0",51.386420438642,-0.59205965920597
"Target","15","1",51.38679843868,-0.59081765908177
"Tee","15","0",51.387878438788,-0.58755965875597
"Pin","16","0",51.391707939171,-0.59230985923099
"Target","16","1",51.389711738971,-0.59197145919715
"Target","16","2",51.391348839135,-0.59222165922217
"Tee","16","0",51.387450038745,-0.59127935912794
"Pin","17","0",51.39410463941,-0.59436185943619
"Tee","17","0",51.393058839306,-0.59565425956543
"Pin","18","0",51.397447239745,-0.58895375889538
"Target","18","1",51.396013539601,-0.58989335898934
"Tee","18","0",51.394110039411,-0.59196875919688
