"type","hole","numPoint","lat","lon"
"Pin","1","0",40.997763499776,-73.704148370415
"Target","1","1",40.997983999798,-73.703349170335
"Tee","1","0",40.998160399816,-73.700744570074
"Pin","2","0",41.001767600177,-73.705070870507
"Target","2","1",41.000492300049,-73.704146570415
"Tee","2","0",40.99819639982,-73.703906270391
"Pin","3","0",40.997993899799,-73.704684770468
"Target","3","1",40.99970029997,-73.705066370507
"Tee","3","0",41.001960200196,-73.705654970565
"Pin","4","0",41.000558900056,-73.706293970629
"Target","4","1",40.999413199941,-73.706084270608
"Tee","4","0",40.997382799738,-73.704644270464
"Pin","5","0",41.001022400102,-73.70789507079
"Tee","5","0",40.999643599964,-73.706940170694
"Pin","6","0",41.00250470025,-73.702833470283
"Target","6","1",41.002646000265,-73.705106870511
"Tee","6","0",41.001188900119,-73.707468470747
"Pin","7","0",41.00149580015,-73.704040370404
"Tee","7","0",41.002618100262,-73.702020770202
"Pin","8","0",41.003083400308,-73.700884070088
"Target","8","1",41.002491200249,-73.70159867016
"Tee","8","0",41.000962100096,-73.703879270388
"Pin","9","0",40.998514099851,-73.700714870071
"Target","9","1",41.000544500054,-73.701505070151
"Target","9","2",40.999085599909,-73.700937170094
"Tee","9","0",41.002736900274,-73.700572670057
"Pin","10","0",41.000208800021,-73.700524070052
"Tee","10","0",40.998672499867,-73.700191970019
"Pin","11","0",41.003143700314,-73.698863569886
"Target","11","1",41.002380500238,-73.699638469964
"Tee","11","0",41.00029790003,-73.700939870094
"Pin","12","0",41.003184200318,-73.703962970396
"Target","12","1",41.00330120033,-73.702288070229
"Tee","12","0",41.003555000356,-73.699255969926
"Pin","13","0",41.001459800146,-73.707958970796
"Target","13","1",41.002555100256,-73.707007670701
"Tee","13","0",41.00339930034,-73.704169070417
"Pin","14","0",40.997139799714,-73.710338571034
"Target","14","1",40.999487899949,-73.709862470986
"Target","14","2",40.997611399761,-73.710173871017
"Tee","14","0",41.00149850015,-73.708374770837
"Pin","15","0",40.997157799716,-73.708434170843
"Tee","15","0",40.997028199703,-73.709949770995
"Pin","16","0",40.998505999851,-73.706059970606
"Target","16","1",40.997768899777,-73.706338970634
"Tee","16","0",40.996775299678,-73.708908470891
"Pin","17","0",40.995522499552,-73.70450477045
"Target","17","1",40.995953599595,-73.706435270644
"Tee","17","0",40.998152299815,-73.705528970553
"Pin","18","0",40.997826499783,-73.70090477009
"Target","18","1",40.996361299636,-73.702432970243
"Target","18","2",40.997523199752,-73.701307070131
"Tee","18","0",40.994830399483,-73.704710870471
