"type","hole","numPoint","lat","lon"
"Pin","1","0",51.660129366013,-0.43197214319721
"Target","1","1",51.659315765932,-0.43160224316022
"Tee","1","0",51.657380765738,-0.43069864306986
"Pin","2","0",51.663214566321,-0.43514824351482
"Target","2","1",51.662059866206,-0.43447414344741
"Tee","2","0",51.660124866012,-0.43246354324635
"Pin","3","0",51.666779466678,-0.43557484355748
"Target","3","1",51.664979466498,-0.43469734346973
"Target","3","2",51.66640236664,-0.43535344353534
"Tee","3","0",51.662683566268,-0.43441024344102
"Pin","4","0",51.667762266776,-0.43289554328955
"Tee","4","0",51.666585066659,-0.43469194346919
"Pin","5","0",51.669918666992,-0.436320043632
"Target","5","1",51.669059166906,-0.43527424352742
"Tee","5","0",51.667920666792,-0.43204774320477
"Pin","6","0",51.671479267148,-0.43810114381011
"Tee","6","0",51.669945666995,-0.4369590436959
"Pin","7","0",51.672205567221,-0.43282264328226
"Target","7","1",51.672242467224,-0.43503574350357
"Tee","7","0",51.671473867147,-0.43853584385358
"Pin","8","0",51.669710766971,-0.43059154305915
"Target","8","1",51.670245367025,-0.43177324317732
"Tee","8","0",51.671811367181,-0.43412134341213
"Pin","9","0",51.668609166861,-0.43031794303179
"Tee","9","0",51.669647766965,-0.4302720430272
"Pin","10","0",51.670428967043,-0.43402144340214
"Target","10","1",51.669955566996,-0.43304494330449
"Tee","10","0",51.668283366828,-0.43049164304916
"Pin","11","0",51.667785666779,-0.43137724313772
"Target","11","1",51.668429166843,-0.43215754321575
"Tee","11","0",51.669940266994,-0.4347810434781
"Pin","12","0",51.663570066357,-0.43346344334634
"Target","12","1",51.66540066654,-0.43355434335543
"Target","12","2",51.664209066421,-0.43360654336065
"Tee","12","0",51.666836166684,-0.4311810431181
"Pin","13","0",51.660239166024,-0.43128274312827
"Target","13","1",51.661929366193,-0.43180744318074
"Target","13","2",51.660758466076,-0.43144384314438
"Tee","13","0",51.664112766411,-0.43298644329864
"Pin","14","0",51.66369516637,-0.42977884297788
"Target","14","1",51.662540466254,-0.42993454299345
"Tee","14","0",51.660239166024,-0.42980494298049
"Pin","15","0",51.666077466608,-0.42926044292604
"Target","15","1",51.665282766528,-0.42958534295853
"Tee","15","0",51.663381066338,-0.42903544290354
"Pin","16","0",51.664691466469,-0.42831364283136
"Tee","16","0",51.666183666618,-0.42868714286871
"Pin","17","0",51.661079766108,-0.42938374293837
"Target","17","1",51.661957266196,-0.42917224291722
"Tee","17","0",51.664089366409,-0.42817144281714
"Pin","18","0",51.657172865717,-0.42901384290138
"Target","18","1",51.658773965877,-0.42974644297464
"Target","18","2",51.657454565745,-0.4292370429237
"Tee","18","0",51.660981666098,-0.4289580428958
