"type","hole","numPoint","lat","lon"
"Pin","1","0",-34.872109987211,138.4950054495
"Target","1","1",-34.872254887225,138.49717804972
"Target","1","2",-34.872215287222,138.49557424956
"Tee","1","0",-34.872212587221,138.49998335
"Pin","2","0",-34.869740286974,138.49634104963
"Target","2","1",-34.870356787036,138.49586944959
"Tee","2","0",-34.872114487211,138.49438624944
"Pin","3","0",-34.869192186919,138.49608004961
"Tee","3","0",-34.87029558703,138.49515934952
"Pin","4","0",-34.869152586915,138.49997435
"Target","4","1",-34.869079686908,138.49875034988
"Tee","4","0",-34.868913186891,138.49615204962
"Pin","5","0",-34.868752086875,138.50249795025
"Target","5","1",-34.868779086878,138.50123705012
"Tee","5","0",-34.868624286862,138.49843714984
"Pin","6","0",-34.869181386918,138.50078795008
"Tee","6","0",-34.869063486906,138.50260955026
"Pin","7","0",-34.869447786945,138.49674784967
"Target","7","1",-34.869443286944,138.49782604978
"Tee","7","0",-34.869367686937,138.50058005006
"Pin","8","0",-34.871485387149,138.49542304954
"Tee","8","0",-34.870274887027,138.49653544965
"Pin","9","0",-34.871923687192,138.50021015002
"Target","9","1",-34.871769787177,138.4980123498
"Target","9","2",-34.871619487162,138.49985734999
"Tee","9","0",-34.87179588718,138.49525654953
"Pin","10","0",-34.869553086955,138.50071505007
"Target","10","1",-34.870328887033,138.50121815012
"Tee","10","0",-34.872044287204,138.50051885005
"Pin","11","0",-34.870059787006,138.49686844969
"Target","11","1",-34.869889686989,138.49805374981
"Tee","11","0",-34.869869886987,138.50060975006
"Pin","12","0",-34.870136287014,138.50051615005
"Target","12","1",-34.870189387019,138.49906354991
"Tee","12","0",-34.870748287075,138.49644454964
"Pin","13","0",-34.871192887119,138.49618714962
"Target","13","1",-34.870722187072,138.4980357498
"Target","13","2",-34.870986787099,138.49672174967
"Tee","13","0",-34.870408987041,138.50081675008
"Pin","14","0",-34.871159587116,138.49959094996
"Target","14","1",-34.871092987109,138.49807984981
"Tee","14","0",-34.871639287164,138.49576864958
"Pin","15","0",-34.871311687131,138.50051615005
"Tee","15","0",-34.870742887074,138.49934164993
"Pin","16","0",-34.871846287185,138.50246105025
"Tee","16","0",-34.872406087241,138.50062775006
"Pin","17","0",-34.869458586946,138.50206955021
"Target","17","1",-34.870370287037,138.50236385024
"Tee","17","0",-34.872131587213,138.50320355032
"Pin","18","0",-34.872062287206,138.50078705008
"Target","18","1",-34.871290087129,138.50190395019
"Tee","18","0",-34.869289386929,138.50161595016
