"type","hole","numPoint","lat","lon"
"Pin","1","0",53.500137250014,-3.0570024057002
"Target","1","1",53.499059049906,-3.0560988056099
"Tee","1","0",53.497818849782,-3.0528363052836
"Pin","2","0",53.503824550382,-3.0579033057903
"Target","2","1",53.501932750193,-3.0578394057839
"Target","2","2",53.503321450332,-3.0581112058111
"Tee","2","0",53.499643149964,-3.0574317057432
"Pin","3","0",53.505150250515,-3.0588177058818
"Tee","3","0",53.504130550413,-3.0575253057525
"Pin","4","0",53.508322750832,-3.05979960598
"Target","4","1",53.507025850703,-3.0602460060246
"Tee","4","0",53.504774950477,-3.0594270059427
"Pin","5","0",53.505689350569,-3.0556614055661
"Target","5","1",53.506941250694,-3.0582471058247
"Target","5","2",53.505914350591,-3.0564543056454
"Tee","5","0",53.508906850891,-3.0596628059663
"Pin","6","0",53.505762250576,-3.0574317057432
"Tee","6","0",53.505009850501,-3.0553149055315
"Pin","7","0",53.503168450317,-3.0557847055785
"Target","7","1",53.50419985042,-3.0556317055632
"Tee","7","0",53.505563350556,-3.0577341057734
"Pin","8","0",53.500665550067,-3.0554868055487
"Target","8","1",53.501686150169,-3.0568251056825
"Tee","8","0",53.503987450399,-3.0566640056664
"Pin","9","0",53.498489349849,-3.0532494053249
"Target","9","1",53.49919944992,-3.0547893054789
"Tee","9","0",53.501138050114,-3.0568791056879
"Pin","10","0",53.50150165015,-3.0536436053644
"Target","10","1",53.500530550053,-3.0531234053123
"Tee","10","0",53.498633349863,-3.0514656051466
"Pin","11","0",53.506319350632,-3.0534240053424
"Target","11","1",53.503852450385,-3.0528777052878
"Target","11","2",53.505484150548,-3.0532152053215
"Tee","11","0",53.501551150155,-3.052740005274
"Pin","12","0",53.508120250812,-3.0564741056474
"Tee","12","0",53.507461450746,-3.0546552054655
"Pin","13","0",53.509150750915,-3.0607059060706
"Target","13","1",53.509236250924,-3.0587448058745
"Tee","13","0",53.508258850826,-3.0553149055315
"Pin","14","0",53.50859545086,-3.0552321055232
"Target","14","1",53.509570150957,-3.0566064056606
"Tee","14","0",53.509728550973,-3.0603306060331
"Pin","15","0",53.506939450694,-3.0534591053459
"Target","15","1",53.507965450797,-3.0536535053654
"Tee","15","0",53.509745650975,-3.0557685055769
"Pin","16","0",53.502940750294,-3.0548694054869
"Target","16","1",53.505164650516,-3.0543168054317
"Target","16","2",53.503818250382,-3.0545922054592
"Tee","16","0",53.507260750726,-3.0544356054436
"Pin","17","0",53.50180315018,-3.0542259054226
"Tee","17","0",53.503406050341,-3.0538992053899
"Pin","18","0",53.498613549861,-3.0524340052434
"Target","18","1",53.499578349958,-3.0535770053577
"Tee","18","0",53.501586250159,-3.0554733055473
