"type","hole","numPoint","lat","lon"
"Pin","1","0",58.485058648506,-3.1293489129349
"Target","1","1",58.484517748452,-3.129310212931
"Tee","1","0",58.482829348283,-3.1283085128309
"Pin","2","0",58.486662448666,-3.1305828130583
"Tee","2","0",58.485335848534,-3.1299015129902
"Pin","3","0",58.490225549023,-3.1328148132815
"Target","3","1",58.488381448838,-3.1307736130774
"Target","3","2",58.489890748989,-3.1325331132533
"Tee","3","0",58.486280848628,-3.1289682128968
"Pin","4","0",58.491526949153,-3.1336572133657
"Tee","4","0",58.489933948993,-3.1330452133045
"Pin","5","0",58.494834449483,-3.1354644135464
"Target","5","1",58.493785049379,-3.1348578134858
"Tee","5","0",58.491627749163,-3.1333188133319
"Pin","6","0",58.497225749723,-3.1376370137637
"Target","6","1",58.496242049624,-3.1369755136976
"Tee","6","0",58.494013649401,-3.1358667135867
"Pin","7","0",58.499594549959,-3.1402020140202
"Target","7","1",58.498841249884,-3.1395171139517
"Tee","7","0",58.496651549665,-3.1381581138158
"Pin","8","0",58.503420450342,-3.1401372140137
"Target","8","1",58.501569150157,-3.1400553140055
"Target","8","2",58.503049650305,-3.1400625140063
"Tee","8","0",58.499292149929,-3.1407060140706
"Pin","9","0",58.502857050286,-3.1375029137503
"Tee","9","0",58.503190050319,-3.1395630139563
"Pin","10","0",58.499577449958,-3.1393380139338
"Target","10","1",58.500526950053,-3.1392237139224
"Tee","10","0",58.502812050281,-3.1386891138689
"Pin","11","0",58.498759349876,-3.138120313812
"Tee","11","0",58.500233550023,-3.138860113886
"Pin","12","0",58.496488649649,-3.1353357135336
"Target","12","1",58.497472349747,-3.1364445136445
"Tee","12","0",58.499675549968,-3.1377234137723
"Pin","13","0",58.493421449342,-3.1338660133866
"Target","13","1",58.494476249448,-3.1346436134644
"Tee","13","0",58.496774849677,-3.1349019134902
"Pin","14","0",58.492653749265,-3.1334367133437
"Tee","14","0",58.493853449385,-3.133190113319
"Pin","15","0",58.49010224901,-3.1320687132069
"Target","15","1",58.490940149094,-3.1323891132389
"Tee","15","0",58.493231549323,-3.1328364132836
"Pin","16","0",58.488187948819,-3.1296072129607
"Target","16","1",58.489160848916,-3.1296765129676
"Tee","16","0",58.491280349128,-3.1313982131398
"Pin","17","0",58.485927148593,-3.1283409128341
"Target","17","1",58.486655248666,-3.1285875128587
"Tee","17","0",58.488950248895,-3.1289412128941
"Pin","18","0",58.483237948324,-3.127890012789
"Target","18","1",58.484215348422,-3.1282608128261
"Tee","18","0",58.486160248616,-3.1276218127622
