"type","hole","numPoint","lat","lon"
"Pin","1","0",42.437651143765,-71.161054116105
"Target","1","1",42.437031043703,-71.160647316065
"Tee","1","0",42.43579624358,-71.158420715842
"Pin","2","0",42.440889344089,-71.163516516352
"Target","2","1",42.439146043915,-71.162315916232
"Target","2","2",42.440655344066,-71.163333816333
"Tee","2","0",42.437391943739,-71.160209916021
"Pin","3","0",42.438624943862,-71.15969961597
"Target","3","1",42.439347643935,-71.160945216095
"Tee","3","0",42.440933444093,-71.163207816321
"Pin","4","0",42.441417644142,-71.162921616292
"Target","4","1",42.440583344058,-71.161832616183
"Tee","4","0",42.4390029439,-71.159562815956
"Pin","5","0",42.443430944343,-71.164728816473
"Target","5","1",42.442790144279,-71.163665016366
"Tee","5","0",42.441089144109,-71.163256416326
"Pin","6","0",42.442270844227,-71.164986216499
"Tee","6","0",42.443719844372,-71.165267916527
"Pin","7","0",42.439788643979,-71.164195116419
"Target","7","1",42.440725544073,-71.164239216424
"Tee","7","0",42.442937744294,-71.164484916448
"Pin","8","0",42.436535143654,-71.161918116192
"Target","8","1",42.437890543789,-71.162516616252
"Tee","8","0",42.440057744006,-71.163723516372
"Pin","9","0",42.43529944353,-71.161416816142
"Tee","9","0",42.436675543668,-71.161188216119
"Pin","10","0",42.4379994438,-71.163846816385
"Target","10","1",42.436895143689,-71.16320151632
"Tee","10","0",42.434967343497,-71.16149691615
"Pin","11","0",42.43649734365,-71.16369651637
"Tee","11","0",42.438344143834,-71.164415616442
"Pin","12","0",42.440456444046,-71.165034816503
"Target","12","1",42.438561043856,-71.165159916516
"Target","12","2",42.440163944016,-71.165144616514
"Tee","12","0",42.436360543636,-71.164241016424
"Pin","13","0",42.436457743646,-71.165745816575
"Target","13","1",42.43819744382,-71.1669959167
"Target","13","2",42.436750243675,-71.166359616636
"Tee","13","0",42.440357444036,-71.166088716609
"Pin","14","0",42.43559644356,-71.163360816336
"Tee","14","0",42.436465843647,-71.164506516451
"Pin","15","0",42.432908143291,-71.159165915917
"Target","15","1",42.433494943349,-71.160041616004
"Tee","15","0",42.434947543495,-71.162462616246
"Pin","16","0",42.435924943592,-71.160585216059
"Target","16","1",42.434829643483,-71.160462816046
"Tee","16","0",42.432959443296,-71.158739315874
"Pin","17","0",42.432743443274,-71.156915915692
"Target","17","1",42.433494943349,-71.158175015817
"Tee","17","0",42.435312943531,-71.160088416009
"Pin","18","0",42.435744943574,-71.159386415939
"Target","18","1",42.434806243481,-71.158053515805
"Tee","18","0",42.432779443278,-71.156459615646
