"type","hole","numPoint","lat","lon"
"Pin","1","0",54.356790635679,-2.89029988903
"Target","1","1",54.356824835682,-2.8914428891443
"Tee","1","0",54.357667235767,-2.894269789427
"Pin","2","0",54.35649813565,-2.887730388773
"Tee","2","0",54.357481835748,-2.8903916890392
"Pin","3","0",54.354374135437,-2.8872074887207
"Target","3","1",54.354783635478,-2.8872533887253
"Tee","3","0",54.356426135643,-2.8873739887374
"Pin","4","0",54.355239035524,-2.891319589132
"Target","4","1",54.35479893548,-2.8897931889793
"Tee","4","0",54.3540033354,-2.8863119886312
"Pin","5","0",54.355852835585,-2.8880039888004
"Target","5","1",54.355461335546,-2.8888049888805
"Tee","5","0",54.355241735524,-2.89209988921
"Pin","6","0",54.356548535655,-2.8928828892883
"Target","6","1",54.356491835649,-2.8916831891683
"Tee","6","0",54.356289335629,-2.8878887887889
"Pin","7","0",54.353826935383,-2.8934894893489
"Target","7","1",54.35469633547,-2.8929593892959
"Tee","7","0",54.356787935679,-2.8932293893229
"Pin","8","0",54.354535235454,-2.8940816894082
"Tee","8","0",54.353222135322,-2.8941167894117
"Pin","9","0",54.356711435671,-2.8937090893709
"Target","9","1",54.356256035626,-2.8936721893672
"Tee","9","0",54.354488435449,-2.8936424893642
"Pin","10","0",54.355615235562,-2.8962389896239
"Tee","10","0",54.356670035667,-2.8940474894047
"Pin","11","0",54.356767235677,-2.8956485895649
"Target","11","1",54.356539535654,-2.8960058896006
"Tee","11","0",54.355071635507,-2.8979390897939
"Pin","12","0",54.355490135549,-2.8999208899921
"Target","12","1",54.356126435613,-2.8986509898651
"Tee","12","0",54.356634035663,-2.8953047895305
"Pin","13","0",54.353989835399,-2.9016029901603
"Target","13","1",54.35470083547,-2.9011232901123
"Tee","13","0",54.355655735566,-2.8984862898486
"Pin","14","0",54.354163535416,-2.9036846903685
"Tee","14","0",54.354416435442,-2.9017316901732
"Pin","15","0",54.354949235495,-2.905709690571
"Tee","15","0",54.353692835369,-2.9042237904224
"Pin","16","0",54.356368535637,-2.9000045900005
"Target","16","1",54.355677335568,-2.9023013902301
"Target","16","2",54.356214635621,-2.9003960900396
"Tee","16","0",54.35509953551,-2.9059805905981
"Pin","17","0",54.357486335749,-2.8956539895654
"Target","17","1",54.357377435738,-2.8969184896918
"Tee","17","0",54.355986935599,-2.8997975899798
"Pin","18","0",54.3569958357,-2.8936046893605
"Tee","18","0",54.357148835715,-2.8963784896378
