"type","hole","numPoint","lat","lon"
"Pin","1","0",40.962052396205,-73.753122775312
"Target","1","1",40.960723096072,-73.752666475267
"Tee","1","0",40.958383995838,-73.752861775286
"Pin","2","0",40.96590439659,-73.752510775251
"Target","2","1",40.964547196455,-73.752930175293
"Tee","2","0",40.962177496218,-73.752567475257
"Pin","3","0",40.967690896769,-73.751780875178
"Tee","3","0",40.965655096566,-73.752193975219
"Pin","4","0",40.970157797016,-73.755091075509
"Target","4","1",40.9689994969,-73.75369877537
"Tee","4","0",40.966949296695,-73.752310075231
"Pin","5","0",40.966451596645,-73.752590875259
"Target","5","1",40.967959096796,-73.754256775426
"Target","5","2",40.966771096677,-73.7529976753
"Tee","5","0",40.970068697007,-73.755479875548
"Pin","6","0",40.967941996794,-73.755367375537
"Target","6","1",40.967394796739,-73.754857075486
"Tee","6","0",40.965944896594,-73.752926575293
"Pin","7","0",40.966192396619,-73.754825575483
"Tee","7","0",40.967338096734,-73.755810175581
"Pin","8","0",40.962811996281,-73.753189375319
"Target","8","1",40.964305996431,-73.753588975359
"Tee","8","0",40.966254496625,-73.755313375531
"Pin","9","0",40.958677395868,-73.753246075325
"Target","9","1",40.960681696068,-73.753469275347
"Target","9","2",40.959288495929,-73.753312675331
"Tee","9","0",40.962976696298,-73.753708675371
"Pin","10","0",40.956592995659,-73.756083775608
"Tee","10","0",40.957582095758,-73.754477275448
"Pin","11","0",40.959878895988,-73.75629797563
"Target","11","1",40.958834895883,-73.756364575636
"Tee","11","0",40.95670099567,-73.756533775653
"Pin","12","0",40.964018896402,-73.756528375653
"Target","12","1",40.961220796122,-73.75640237564
"Target","12","2",40.963055896306,-73.756090975609
"Tee","12","0",40.958941095894,-73.757331175733
"Pin","13","0",40.962426796243,-73.756963075696
"Tee","13","0",40.964219596422,-73.756909975691
"Pin","14","0",40.965276196528,-73.758213175821
"Target","14","1",40.964027896403,-73.75749947575
"Tee","14","0",40.961642896164,-73.75749677575
"Pin","15","0",40.967708896771,-73.758280675828
"Target","15","1",40.966567696657,-73.758639775864
"Tee","15","0",40.964308696431,-73.758776575878
"Pin","16","0",40.96459579646,-73.756724575672
"Target","16","1",40.966120396612,-73.757859475786
"Target","16","2",40.965056596506,-73.757147575715
"Tee","16","0",40.968376696838,-73.757646175765
"Pin","17","0",40.961171296117,-73.75540247554
"Target","17","1",40.962529396253,-73.755352975535
"Tee","17","0",40.964713696471,-73.756319575632
"Pin","18","0",40.957940295794,-73.75440437544
"Target","18","1",40.959134595913,-73.755564475556
"Tee","18","0",40.961341396134,-73.755887575589
