"type","hole","numPoint","lat","lon"
"Pin","1","0",51.988237898824,-0.66588486658849
"Target","1","1",51.990049599005,-0.66690006669001
"Target","1","2",51.988505198851,-0.66598206659821
"Tee","1","0",51.992232099223,-0.66808986680899
"Pin","2","0",51.988565498857,-0.66942276694228
"Target","2","1",51.988492598849,-0.66768306676831
"Tee","2","0",51.987291998729,-0.66497316649732
"Pin","3","0",51.989829098983,-0.66881166688117
"Tee","3","0",51.988862498886,-0.66960276696028
"Pin","4","0",51.992945799295,-0.67025706702571
"Target","4","1",51.991939599194,-0.66935256693526
"Tee","4","0",51.989919998992,-0.67026516702652
"Pin","5","0",51.995212899521,-0.67489746748975
"Target","5","1",51.99440289944,-0.67211016721102
"Target","5","2",51.995018499502,-0.67436916743692
"Tee","5","0",51.992293299229,-0.67061166706117
"Pin","6","0",51.996874299687,-0.6778179677818
"Tee","6","0",51.995629599563,-0.67600806760081
"Pin","7","0",51.999815499982,-0.67393176739318
"Target","7","1",51.998649099865,-0.67536276753628
"Tee","7","0",51.997122699712,-0.67816176781618
"Pin","8","0",51.997352199735,-0.67567506756751
"Target","8","1",51.998241399824,-0.67472286747229
"Tee","8","0",51.99990369999,-0.67233156723316
"Pin","9","0",51.996086799609,-0.67585506758551
"Tee","9","0",51.997409799741,-0.67677486767749
"Pin","10","0",51.999044199904,-0.67248636724864
"Target","10","1",51.998222499822,-0.67342146734215
"Tee","10","0",51.996258699626,-0.67537176753718
"Pin","11","0",51.995853699585,-0.67487856748786
"Target","11","1",51.997409799741,-0.67343946734395
"Target","11","2",51.996087699609,-0.67466256746626
"Tee","11","0",51.999293499929,-0.67129026712903
"Pin","12","0",51.996529599653,-0.67287786728779
"Tee","12","0",51.995409999541,-0.67455906745591
"Pin","13","0",51.993416499342,-0.66943086694309
"Target","13","1",51.994245399425,-0.67089966708997
"Tee","13","0",51.99620109962,-0.67287516728752
"Pin","14","0",51.997578099758,-0.67193376719338
"Target","14","1",51.995379399538,-0.67082226708223
"Target","14","2",51.997132599713,-0.67178076717808
"Tee","14","0",51.993479499348,-0.668709966871
"Pin","15","0",51.994955499496,-0.6694659669466
"Target","15","1",51.996146199615,-0.67017516701752
"Tee","15","0",51.998235099824,-0.67174836717484
"Pin","16","0",51.997263999726,-0.66964326696433
"Target","16","1",51.996066099607,-0.66875136687514
"Tee","16","0",51.993777399378,-0.66833916683392
"Pin","17","0",51.994474899447,-0.66743286674329
"Target","17","1",51.995783499578,-0.6675219667522
"Tee","17","0",51.997639299764,-0.66910686691069
"Pin","18","0",51.991964799196,-0.6671619667162
"Target","18","1",51.992791899279,-0.66713136671314
"Tee","18","0",51.994708899471,-0.66813576681358
