"type","hole","numPoint","lat","lon"
"Pin","1","0",42.320376632038,-71.783042378304
"Target","1","1",42.321486332149,-71.782532078253
"Tee","1","0",42.323047832305,-71.78089947809
"Pin","2","0",42.318978931898,-71.777292277729
"Target","2","1",42.319573831957,-71.78030007803
"Target","2","2",42.318984331898,-71.777810677781
"Tee","2","0",42.320168732017,-71.783307878331
"Pin","3","0",42.320445932045,-71.781208178121
"Target","3","1",42.320205632021,-71.780072378007
"Tee","3","0",42.319305631931,-71.777205877721
"Pin","4","0",42.322124432212,-71.780824778082
"Tee","4","0",42.320341532034,-71.781747278175
"Pin","5","0",42.319651231965,-71.7769997777
"Target","5","1",42.320505332051,-71.779092277909
"Target","5","2",42.319707031971,-71.777340877734
"Tee","5","0",42.322445732245,-71.780770778077
"Pin","6","0",42.320468432047,-71.776226677623
"Tee","6","0",42.318875431888,-71.776731577673
"Pin","7","0",42.323381732338,-71.777278777728
"Target","7","1",42.322332332233,-71.777311177731
"Tee","7","0",42.320035532004,-71.777082577708
"Pin","8","0",42.324512132451,-71.778469477847
"Tee","8","0",42.322968632297,-71.77789797779
"Pin","9","0",42.328178732818,-71.779488277949
"Target","9","1",42.327176132718,-71.779258777926
"Tee","9","0",42.324890132489,-71.779633177963
"Pin","10","0",42.327159032716,-71.781181178118
"Tee","10","0",42.32850363285,-71.780448578045
"Pin","11","0",42.325059332506,-71.783570678357
"Target","11","1",42.3259962326,-71.783064878306
"Tee","11","0",42.327861032786,-71.781236978124
"Pin","12","0",42.327765632777,-71.785231178523
"Target","12","1",42.326484932648,-71.785239278524
"Tee","12","0",42.324227732423,-71.784622778462
"Pin","13","0",42.328419932842,-71.783337578334
"Tee","13","0",42.327048332705,-71.784493178449
"Pin","14","0",42.32609973261,-71.784040478404
"Target","14","1",42.327075332708,-71.783710178371
"Tee","14","0",42.329130032913,-71.782305278231
"Pin","15","0",42.328945532895,-71.779738477974
"Target","15","1",42.327870032787,-71.782053278205
"Target","15","2",42.328859132886,-71.780564678056
"Tee","15","0",42.325923332592,-71.783718278372
"Pin","16","0",42.32520423252,-71.780376578038
"Target","16","1",42.326269832627,-71.780367578037
"Tee","16","0",42.328561232856,-71.780059778006
"Pin","17","0",42.320783432078,-71.778013177801
"Target","17","1",42.322193732219,-71.778492877849
"Tee","17","0",42.324426632443,-71.779252477925
"Pin","18","0",42.322958732296,-71.780513378051
"Target","18","1",42.322446632245,-71.780084078008
"Tee","18","0",42.320644832064,-71.778329977833
