"type","hole","numPoint","lat","lon"
"Pin","1","0",53.289864828986,-1.1033137103314
"Target","1","1",53.290289629029,-1.104310010431
"Tee","1","0",53.291610829161,-1.1074654107465
"Pin","2","0",53.29220392922,-1.1064430106443
"Target","2","1",53.291551429155,-1.1054611105461
"Tee","2","0",53.289891828989,-1.102789910279
"Pin","3","0",53.291750329175,-1.1044909104491
"Tee","3","0",53.292751129275,-1.1064673106467
"Pin","4","0",53.292864529286,-1.1002393100239
"Target","4","1",53.292832129283,-1.1022778102278
"Tee","4","0",53.29140292914,-1.1043487104349
"Pin","5","0",53.290825129083,-1.1029807102981
"Target","5","1",53.291447029145,-1.1030212103021
"Tee","5","0",53.292542329254,-1.1001106100111
"Pin","6","0",53.292983329298,-1.0982116098212
"Target","6","1",53.291736829174,-1.1001178100118
"Target","6","2",53.292866329287,-1.0986265098627
"Tee","6","0",53.290279729028,-1.1031013103101
"Pin","7","0",53.289069228907,-1.0978921097892
"Target","7","1",53.290758529076,-1.098409609841
"Target","7","2",53.289340128934,-1.0980019098002
"Tee","7","0",53.293010329301,-1.0976059097606
"Pin","8","0",53.289044028904,-1.0940572094057
"Tee","8","0",53.288966628897,-1.0969507096951
"Pin","9","0",53.289193428919,-1.0862407086241
"Target","9","1",53.289160128916,-1.0888435088844
"Tee","9","0",53.28909892891,-1.0926946092695
"Pin","10","0",53.290629829063,-1.0934029093403
"Target","10","1",53.289749628975,-1.0908442090844
"Target","10","2",53.290338229034,-1.0929664092966
"Tee","10","0",53.289606528961,-1.0870003087
"Pin","11","0",53.291351629135,-1.0945612094561
"Tee","11","0",53.290127629013,-1.094110309411
"Pin","12","0",53.289959328996,-1.088910108891
"Target","12","1",53.290432729043,-1.090549909055
"Tee","12","0",53.291432629143,-1.0940194094019
"Pin","13","0",53.29219582922,-1.0937566093757
"Target","13","1",53.291917729192,-1.0917460091746
"Tee","13","0",53.290477729048,-1.0888291088829
"Pin","14","0",53.289583128958,-1.0948645094865
"Target","14","1",53.290534429053,-1.0958212095821
"Tee","14","0",53.292420829242,-1.0948510094851
"Pin","15","0",53.292940129294,-1.0972513097251
"Target","15","1",53.291067229107,-1.0972324097232
"Target","15","2",53.292629629263,-1.0972756097276
"Tee","15","0",53.289306828931,-1.0953253095325
"Pin","16","0",53.29329922933,-1.1022031102203
"Target","16","1",53.293344229334,-1.100790110079
"Tee","16","0",53.293465729347,-1.0969426096943
"Pin","17","0",53.293147129315,-1.1066284106628
"Target","17","1",53.293075129308,-1.1052676105268
"Tee","17","0",53.293709629371,-1.1015641101564
"Pin","18","0",53.291813329181,-1.1071243107124
"Tee","18","0",53.293221829322,-1.1072485107249
