"type","hole","numPoint","lat","lon"
"Pin","1","0",28.688867268887,-82.482972448297
"Target","1","1",28.687793568779,-82.482490048249
"Tee","1","0",28.685533668553,-82.481784448178
"Pin","2","0",28.693723669372,-82.48439624844
"Target","2","1",28.692235969224,-82.483725748373
"Tee","2","0",28.689977868998,-82.482851848285
"Pin","3","0",28.693270069327,-82.481932048193
"Tee","3","0",28.693455469346,-82.483527748353
"Pin","4","0",28.693783069378,-82.476945147695
"Target","4","1",28.694473369447,-82.479091647909
"Target","4","2",28.694232169423,-82.477616547762
"Tee","4","0",28.693973869397,-82.481606248161
"Pin","5","0",28.690209169021,-82.477125147713
"Target","5","1",28.691048869105,-82.477391547739
"Tee","5","0",28.693344769334,-82.47719534772
"Pin","6","0",28.68929836893,-82.482449548245
"Target","6","1",28.689693468969,-82.480109548011
"Target","6","2",28.689167868917,-82.481934748193
"Tee","6","0",28.689961668996,-82.477455447746
"Pin","7","0",28.689373968937,-82.485758848576
"Tee","7","0",28.689409068941,-82.483854448385
"Pin","8","0",28.68569836857,-82.48640054864
"Target","8","1",28.686865668687,-82.485818248582
"Tee","8","0",28.689190368919,-82.486159348616
"Pin","9","0",28.684787568479,-82.48280324828
"Target","9","1",28.685107968511,-82.484036248404
"Tee","9","0",28.685215968522,-82.486657948666
"Pin","10","0",28.686032268603,-82.484512348451
"Tee","10","0",28.685150268515,-82.482618748262
"Pin","11","0",28.688858268886,-82.484190148419
"Target","11","1",28.68780346878,-82.484920948492
"Tee","11","0",28.685481468548,-82.485284548528
"Pin","12","0",28.690613269061,-82.478388747839
"Target","12","1",28.690631269063,-82.479977247998
"Tee","12","0",28.68990046899,-82.482564748257
"Pin","13","0",28.69170316917,-82.482264148226
"Target","13","1",28.691371069137,-82.480691848069
"Tee","13","0",28.691623069162,-82.477989147799
"Pin","14","0",28.692865069287,-82.477776747778
"Target","14","1",28.69209736921,-82.480090648009
"Target","14","2",28.69239526924,-82.47819974782
"Tee","14","0",28.692370969237,-82.482744748274
"Pin","15","0",28.693434769343,-82.48109774811
"Target","15","1",28.692916369292,-82.480592848059
"Tee","15","0",28.693370869337,-82.478211447821
"Pin","16","0",28.694227669423,-82.483581748358
"Tee","16","0",28.694460769446,-82.48150274815
"Pin","17","0",28.689929268993,-82.48470494847
"Target","17","1",28.690950769095,-82.484712148471
"Tee","17","0",28.69320436932,-82.484936248494
"Pin","18","0",28.685632668563,-82.482481948248
"Target","18","1",28.686628068663,-82.483693348369
"Tee","18","0",28.688930268893,-82.483770748377
