"type","hole","numPoint","lat","lon"
"Pin","1","0",51.294966029497,-0.6048009604801
"Target","1","1",51.295347629535,-0.60576666057667
"Tee","1","0",51.296391629639,-0.6090489609049
"Pin","2","0",51.292807829281,-0.60980586098059
"Target","2","1",51.293547629355,-0.60873306087331
"Tee","2","0",51.294816629482,-0.60566136056614
"Pin","3","0",51.295142429514,-0.60696006069601
"Target","3","1",51.294691529469,-0.60830736083074
"Tee","3","0",51.292889729289,-0.61038186103819
"Pin","4","0",51.295727429573,-0.6100119610012
"Tee","4","0",51.295348529535,-0.60792036079204
"Pin","5","0",51.294822029482,-0.61514016151402
"Target","5","1",51.294778829478,-0.61322946132295
"Tee","5","0",51.295870529587,-0.61036656103666
"Pin","6","0",51.294263129426,-0.60970056097006
"Target","6","1",51.2939985294,-0.61228806122881
"Target","6","2",51.294093929409,-0.6100569610057
"Tee","6","0",51.294639329464,-0.61582416158242
"Pin","7","0",51.292887929289,-0.61170216117022
"Tee","7","0",51.29389592939,-0.60990756099076
"Pin","8","0",51.291276029128,-0.61543266154327
"Target","8","1",51.292027529203,-0.61494576149458
"Tee","8","0",51.293406329341,-0.61199736119974
"Pin","9","0",51.289372528937,-0.61900566190057
"Target","9","1",51.289735228974,-0.61785726178573
"Tee","9","0",51.291609929161,-0.61571976157198
"Pin","10","0",51.290782829078,-0.61912356191236
"Tee","10","0",51.289654228965,-0.61932516193252
"Pin","11","0",51.288945928895,-0.62617236261724
"Target","11","1",51.290014229001,-0.62344806234481
"Target","11","2",51.289194328919,-0.62572776257278
"Tee","11","0",51.291481229148,-0.62060946206095
"Pin","12","0",51.291918629192,-0.62140326214033
"Target","12","1",51.291076229108,-0.6240249624025
"Target","12","2",51.291884429188,-0.6219639621964
"Tee","12","0",51.289260028926,-0.62628756262876
"Pin","13","0",51.292113029211,-0.6234849623485
"Tee","13","0",51.292186829219,-0.62119446211945
"Pin","14","0",51.295060529506,-0.62101446210145
"Target","14","1",51.29379872938,-0.62198376219838
"Tee","14","0",51.291926729193,-0.62412846241285
"Pin","15","0",51.291306629131,-0.61833516183352
"Target","15","1",51.292961729296,-0.6177789617779
"Target","15","2",51.291722429172,-0.61825506182551
"Tee","15","0",51.295261229526,-0.61759986175999
"Pin","16","0",51.292363229236,-0.6168789616879
"Tee","16","0",51.290922329092,-0.61745226174523
"Pin","17","0",51.295264829526,-0.61703376170338
"Target","17","1",51.294344129434,-0.61625256162526
"Tee","17","0",51.292084229208,-0.61609506160951
"Pin","18","0",51.296156729616,-0.61064016106402
"Target","18","1",51.295839029584,-0.61266246126625
"Tee","18","0",51.295148729515,-0.61617606161761
