"type","hole","numPoint","lat","lon"
"Pin","1","0",51.616953661695,-1.7033365703337
"Target","1","1",51.618121861812,-1.7024050702405
"Tee","1","0",51.620080262008,-1.7031709703171
"Pin","2","0",51.619117261912,-1.6996672699667
"Target","2","1",51.618309061831,-1.7005924700592
"Tee","2","0",51.616554061655,-1.7029936702994
"Pin","3","0",51.618031861803,-1.6998283699828
"Tee","3","0",51.619305361931,-1.6986187698619
"Pin","4","0",51.614072761407,-1.7033419703342
"Target","4","1",51.616064461606,-1.7019757701976
"Target","4","2",51.614543461454,-1.7031457703146
"Tee","4","0",51.617763661776,-1.6994719699472
"Pin","5","0",51.613544461354,-1.7064640706464
"Tee","5","0",51.614335561434,-1.7040448704045
"Pin","6","0",51.616810561681,-1.7091253709125
"Target","6","1",51.6150033615,-1.7082514708251
"Target","6","2",51.61640466164,-1.7087833708783
"Tee","6","0",51.613078261308,-1.7062174706217
"Pin","7","0",51.614427361443,-1.7064271706427
"Target","7","1",51.615339061534,-1.7068456706846
"Tee","7","0",51.61730016173,-1.7085214708521
"Pin","8","0",51.61620306162,-1.7032483703248
"Target","8","1",51.615554161555,-1.7037244703724
"Tee","8","0",51.614007961401,-1.7061958706196
"Pin","9","0",51.6189993619,-1.7031808703181
"Target","9","1",51.618056161806,-1.7038126703813
"Tee","9","0",51.615841261584,-1.7048251704825
"Pin","10","0",51.615390361539,-1.7054452705445
"Target","10","1",51.617683561768,-1.7054335705434
"Target","10","2",51.616040161604,-1.7055370705537
"Tee","10","0",51.619581661958,-1.7033338703334
"Pin","11","0",51.61749996175,-1.7066953706695
"Target","11","1",51.616705261671,-1.7064910706491
"Tee","11","0",51.614887261489,-1.7059357705936
"Pin","12","0",51.619080361908,-1.7087149708715
"Tee","12","0",51.617824861783,-1.7087068708707
"Pin","13","0",51.620730962073,-1.7054263705426
"Target","13","1",51.620414162041,-1.7064379706438
"Tee","13","0",51.61919916192,-1.709430470943
"Pin","14","0",51.61810476181,-1.7079850707985
"Target","14","1",51.618924661892,-1.7070283707028
"Tee","14","0",51.620627462063,-1.7046325704633
"Pin","15","0",51.620286362029,-1.713279771328
"Target","15","1",51.61939716194,-1.7115112711511
"Tee","15","0",51.617634961764,-1.7090227709023
"Pin","16","0",51.619493461949,-1.7137810713781
"Tee","16","0",51.620722862072,-1.7137468713747
"Pin","17","0",51.61729746173,-1.7094070709407
"Target","17","1",51.618317161832,-1.7114563711456
"Target","17","2",51.617482861748,-1.7099938709994
"Tee","17","0",51.619470061947,-1.7146666714667
"Pin","18","0",51.619416961942,-1.7044525704453
"Target","18","1",51.618945361895,-1.7051950705195
"Tee","18","0",51.617523361752,-1.7079418707942
