"tempi","hum","wdird","wdire","wgusti","precipi","rain","conds","weatherTime","shotId"
"77.9","79","0","North","-9999.0","-9999.00","0","Clear",755,"1249-420-715-1-1-1"
"77.9","79","0","North","-9999.0","-9999.00","0","Clear",755,"1249-420-715-1-1-2"
"78.8","75","0","North","-9999.0","-9999.00","0","Clear",815,"1249-420-715-1-1-3"
"78.8","75","0","North","-9999.0","-9999.00","0","Clear",815,"1249-420-715-1-1-4"
"78.8","75","0","North","-9999.0","-9999.00","0","Clear",815,"1249-420-715-1-2-1"
"78.8","75","0","North","-9999.0","-9999.00","0","Clear",815,"1249-420-715-1-2-2"
"78.8","75","0","North","-9999.0","-9999.00","0","Clear",815,"1249-420-715-1-2-3"
"78.8","75","0","North","-9999.0","-9999.00","0","Clear",815,"1249-420-715-1-2-4"
"78.8","75","0","North","-9999.0","-9999.00","0","Clear",815,"1249-420-715-1-3-1"
"81.0","65","0","North","-9999.0","-9999.00","0","Clear",835,"1249-420-715-1-3-2"
"81.0","65","0","North","-9999.0","-9999.00","0","Clear",835,"1249-420-715-1-3-3"
"81.0","65","0","North","-9999.0","-9999.00","0","Clear",835,"1249-420-715-1-3-4"
"81.0","65","0","North","-9999.0","-9999.00","0","Clear",835,"1249-420-715-1-4-1"
"83.1","55","0","North","-9999.0","-9999.00","0","Clear",855,"1249-420-715-1-4-2"
"83.1","55","0","North","-9999.0","-9999.00","0","Clear",855,"1249-420-715-1-4-3"
"83.1","55","0","North","-9999.0","-9999.00","0","Clear",855,"1249-420-715-1-5-1"
"83.1","55","0","North","-9999.0","-9999.00","0","Clear",855,"1249-420-715-1-5-2"
"83.1","56","0","North","-9999.0","-9999.00","0","Clear",915,"1249-420-715-1-5-3"
"83.1","56","0","North","-9999.0","-9999.00","0","Clear",915,"1249-420-715-1-5-4"
"83.1","56","0","North","-9999.0","-9999.00","0","Clear",915,"1249-420-715-1-6-1"
"83.1","56","0","North","-9999.0","-9999.00","0","Clear",915,"1249-420-715-1-6-2"
"83.1","56","0","North","-9999.0","-9999.00","0","Clear",915,"1249-420-715-1-6-3"
"83.1","56","0","North","-9999.0","-9999.00","0","Clear",915,"1249-420-715-1-6-4"
"83.1","56","0","North","-9999.0","-9999.00","0","Clear",915,"1249-420-715-1-6-5"
"83.1","56","0","North","-9999.0","-9999.00","0","Clear",915,"1249-420-715-1-7-1"
"84.2","53","0","North","-9999.0","-9999.00","0","Clear",935,"1249-420-715-1-7-2"
"84.2","53","0","North","-9999.0","-9999.00","0","Clear",935,"1249-420-715-1-7-3"
"84.2","53","0","North","-9999.0","-9999.00","0","Clear",935,"1249-420-715-1-7-4"
"84.2","53","0","North","-9999.0","-9999.00","0","Clear",935,"1249-420-715-1-8-1"
"85.8","47","0","North","-9999.0","-9999.00","0","Clear",955,"1249-420-715-1-8-2"
"85.8","47","0","North","-9999.0","-9999.00","0","Clear",955,"1249-420-715-1-8-3"
"85.8","47","0","North","-9999.0","-9999.00","0","Clear",955,"1249-420-715-1-8-4"
"85.8","47","0","North","-9999.0","-9999.00","0","Clear",955,"1249-420-715-1-9-1"
"86.9","45","0","North","-9999.0","-9999.00","0","Clear",1015,"1249-420-715-1-9-2"
"86.9","45","0","North","-9999.0","-9999.00","0","Clear",1015,"1249-420-715-1-9-3"
"86.9","45","0","North","-9999.0","-9999.00","0","Clear",1015,"1249-420-715-1-10-1"
"86.9","45","0","North","-9999.0","-9999.00","0","Clear",1015,"1249-420-715-1-10-2"
"86.9","45","0","North","-9999.0","-9999.00","0","Clear",1015,"1249-420-715-1-10-3"
"86.9","45","0","North","-9999.0","-9999.00","0","Clear",1015,"1249-420-715-1-10-4"
"87.6","43","0","North","-9999.0","-9999.00","0","Clear",1035,"1249-420-715-1-11-1"
"87.6","43","0","North","-9999.0","-9999.00","0","Clear",1035,"1249-420-715-1-11-2"
"87.6","43","0","North","-9999.0","-9999.00","0","Clear",1035,"1249-420-715-1-11-3"
"87.6","43","0","North","-9999.0","-9999.00","0","Clear",1035,"1249-420-715-1-11-4"
